G,Date,Home/Away,Opp,Result,GS,MP,FT,FTA,FT%,PTS
1,2021-10-19,,BRK,W (+23),1,30:57:00,7,9,0.778,32
2,2021-10-21,@,MIA,L (-42),1,22:48,6,10,0.6,15
3,2021-10-23,@,SAS,W (+10),1,30:24:00,6,8,0.75,21
4,2021-10-25,@,IND,W (+10),1,36:16:00,10,13,0.769,30
5,2021-10-27,,MIN,L (-5),1,34:53:00,7,9,0.778,40
6,2021-10-30,,SAS,L (-9),1,34:04:00,6,11,0.545,28
7,2021-10-31,,UTA,L (-12),1,34:55:00,2,2,1,25
8,2021-11-02,@,DET,W (+28),1,26:48:00,7,7,1,28
9,2021-11-05,,NYK,L (-15),1,30:30:00,9,11,0.818,25
10,2021-11-07,@,WAS,L (-7),1,39:11:00,5,12,0.417,29
11,2021-11-09,@,PHI,W (+9),1,36:13:00,7,13,0.538,31
12,2021-11-10,@,NYK,W (+12),1,37:40:00,3,4,0.75,15
,2021-11-12,@,BOS,L (-9),Inac,Inac,Inac,Inac,Inac,Inac
13,2021-11-14,@,ATL,L (-20),1,33:44:00,7,12,0.583,26
14,2021-11-17,,LAL,W (+7),1,36:17:00,8,11,0.727,47
15,2021-11-19,,OKC,W (+7),1,35:45:00,9,11,0.818,21
16,2021-11-20,,ORL,W (+9),1,30:22:00,15,23,0.652,32
17,2021-11-22,,ORL,W (+31),1,23:44,4,6,0.667,12
18,2021-11-24,,DET,W (+21),1,31:10:00,8,10,0.8,33
19,2021-11-26,@,DEN,W (+11),1,30:06:00,3,9,0.333,24
20,2021-11-28,@,IND,W (+18),1,32:40:00,6,10,0.6,26
21,2021-12-01,,CHO,W (+2),1,37:41:00,9,13,0.692,40
,2021-12-02,@,TOR,L (-4),Did,Did,Did,Did,Did,Did
,2021-12-04,,MIA,W (+22),Inac,Inac,Inac,Inac,Inac,Inac
22,2021-12-06,,CLE,W (+8),1,27:21:00,6,7,0.857,27
23,2021-12-08,@,MIA,L (-9),1,32:36:00,7,12,0.583,15
24,2021-12-10,@,HOU,W (+9),1,36:44:00,10,14,0.714,41
25,2021-12-12,@,NYK,W (+15),1,32:25:00,6,8,0.75,20
26,2021-12-13,@,BOS,L (-14),1,33:35:00,6,8,0.75,20
,2021-12-15,,IND,W (+15),Inac,Inac,Inac,Inac,Inac,Inac
,2021-12-17,@,NOP,L (-4),Inac,Inac,Inac,Inac,Inac,Inac
,2021-12-18,,CLE,L (-29),Inac,Inac,Inac,Inac,Inac,Inac
,2021-12-22,,HOU,W (+20),Inac,Inac,Inac,Inac,Inac,Inac
,2021-12-23,@,DAL,W (+7),Inac,Inac,Inac,Inac,Inac,Inac
27,2021-12-25,,BOS,W (+4),1,29:48:00,10,15,0.667,36
28,2021-12-28,@,ORL,W (+17),1,29:34:00,7,10,0.7,28
29,2021-12-30,@,ORL,W (+18),1,30:55:00,6,6,1,33
30,2022-01-01,,NOP,W (+23),1,32:12:00,9,12,0.75,35
31,2022-01-03,,DET,L (-9),1,35:36:00,9,13,0.692,31
,2022-01-05,,TOR,L (-6),Inac,Inac,Inac,Inac,Inac,Inac
32,2022-01-07,@,BRK,W (+12),1,26:47:00,7,10,0.7,31
33,2022-01-08,@,CHO,L (-8),1,36:44:00,18,20,0.9,43
34,2022-01-10,@,CHO,L (-4),1,35:00:00,5,8,0.625,26
35,2022-01-13,,GSW,W (+19),1,29:58:00,8,12,0.667,30
36,2022-01-15,,TOR,L (-7),1,35:29:00,17,17,1,30
37,2022-01-17,@,ATL,L (-7),1,36:59:00,10,14,0.714,27
38,2022-01-19,,MEM,W (+12),1,31:13:00,7,8,0.875,33
39,2022-01-21,,CHI,W (+4),1,36:40:00,8,12,0.667,30
,2022-01-22,,SAC,W (+6),Inac,Inac,Inac,Inac,Inac,Inac
40,2022-01-26,@,CLE,L (-16),1,29:20:00,11,12,0.917,26
41,2022-01-28,,NYK,W (+15),1,34:06:00,12,16,0.75,38
42,2022-01-30,,DEN,L (-36),1,30:47:00,10,15,0.667,29
43,2022-02-01,,WAS,W (+14),1,37:58:00,5,5,1,33
44,2022-02-05,@,POR,W (+29),1,24:37:00,11,15,0.733,29
45,2022-02-06,@,LAC,W (+24),1,30:48:00,10,12,0.833,28
46,2022-02-08,@,LAL,W (+15),1,35:19:00,8,13,0.615,44
47,2022-02-10,@,PHO,L (-24),1,29:47:00,8,14,0.571,18
,2022-02-14,,POR,L (-15),Inac,Inac,Inac,Inac,Inac,Inac
48,2022-02-15,,IND,W (+9),1,36:08:00,14,18,0.778,50
49,2022-02-17,,PHI,L (-3),1,39:06:00,4,5,0.8,32
50,2022-02-26,,BRK,L (-3),1,36:13:00,12,16,0.75,29
51,2022-02-28,,CHO,W (+24),1,28:09:00,14,14,1,26
52,2022-03-02,,MIA,W (+1),1,34:24:00,9,11,0.818,28
